in s,C1 in V
1.31E+00,-1.85E+00
1.31E+00,-1.90E+00
1.31E+00,-1.88E+00
1.31E+00,-1.87E+00
1.31E+00,-2.02E+00
1.31E+00,-1.87E+00
1.31E+00,-1.79E+00
1.31E+00,-2.08E+00
1.31E+00,-1.81E+00
1.31E+00,-1.85E+00
1.31E+00,-2.04E+00
1.31E+00,-1.87E+00
1.31E+00,-1.83E+00
1.31E+00,-1.88E+00
1.31E+00,-1.79E+00
1.31E+00,-1.94E+00
1.31E+00,-1.85E+00
1.31E+00,-1.83E+00
1.31E+00,-2.00E+00
1.31E+00,-1.85E+00
1.31E+00,-1.85E+00
1.31E+00,-2.00E+00
1.31E+00,-1.79E+00
1.31E+00,-1.81E+00
1.31E+00,-1.90E+00
1.31E+00,-1.75E+00
1.31E+00,-1.83E+00
1.31E+00,-1.87E+00
1.31E+00,-1.75E+00
1.31E+00,-1.90E+00
1.31E+00,-1.73E+00
1.31E+00,-1.73E+00
1.31E+00,-1.92E+00
1.31E+00,-1.77E+00
1.31E+00,-1.79E+00
1.31E+00,-1.85E+00
1.31E+00,-1.77E+00
1.31E+00,-1.79E+00
1.31E+00,-1.79E+00
1.31E+00,-1.71E+00
1.31E+00,-1.83E+00
1.31E+00,-1.71E+00
1.31E+00,-1.71E+00
1.31E+00,-1.94E+00
1.31E+00,-1.75E+00
1.31E+00,-1.71E+00
1.31E+00,-1.81E+00
1.31E+00,-1.67E+00
1.31E+00,-1.71E+00
1.31E+00,-1.85E+00
